Sector,Parameter,Direction,Baseline_Value,Perturbed_Value,Requested_Change_Percent,Actual_Change_Percent,Parameter_Changed,Clipped_Or_Rounded,N_Replications,Baseline_Typology,Typology,P_RCPI_Positive,RCPI_PI_2.5,RCPI_PI_97.5,Baseline_Mean_RCPI,Mean_RCPI,Delta_RCPI,Delta_RCPI_MCSE,Delta_RCPI_Valid_N,Baseline_Mean_MRR,Mean_MRR,Delta_MRR,Delta_MRR_MCSE,Delta_MRR_Valid_N,Baseline_Mean_VMD,Mean_VMD,Delta_VMD,Delta_VMD_MCSE,Delta_VMD_Valid_N,Baseline_Mean_CO2_Avoided,Mean_CO2_Avoided,Delta_CO2_Avoided,Delta_CO2_Avoided_MCSE,Delta_CO2_Avoided_Valid_N
Aircraft manufacturing,disposal_cost,minus_20_percent,60.0,48.0,-19.999999999999996,-19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.12427216371370346,0.21996322109631686,0.17270666835280535,0.17334032196910812,0.0006336536163027494,9.908138908124102e-07,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
Aircraft manufacturing,disposal_cost,plus_20_percent,60.0,72.0,19.999999999999996,19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.1226017005839961,0.21902408700713635,0.17270666835280535,0.17207310577777904,-0.0006335625750263252,9.904946732010464e-07,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
Aircraft manufacturing,new_mfg_cost,minus_20_percent,2800.0,2240.0,-19.999999999999996,-19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.09055990851438392,0.185606663179764,0.17270666835280535,0.13957110897206004,-0.03313555938074531,1.433980102625748e-05,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
Aircraft manufacturing,new_mfg_cost,plus_20_percent,2800.0,3360.0,19.999999999999996,19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.14640212001325997,0.24316324177971196,0.17270666835280535,0.19598283952105638,0.023276171168251016,1.0388255705903259e-05,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
Aircraft manufacturing,virgin_material_cost_per_unit,minus_20_percent,350.0,280.0,-19.999999999999996,-19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.12006878853688338,0.21584309061637666,0.17270666835280535,0.16921229484863184,-0.0034943735041735122,1.5370056976166797e-06,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
Aircraft manufacturing,virgin_material_cost_per_unit,plus_20_percent,350.0,420.0,19.999999999999996,19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.12674408053517058,0.22292456097179458,0.17270666835280535,0.17605162366291935,0.0033449553101139785,1.4767834902146585e-06,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
Aircraft manufacturing,process_capacity,minus_20_percent,18.0,14.0,-19.999999999999996,-22.22222222222222,True,True,10000,Sunny,Sunny,1.0,0.08722949663205405,0.1939288281404323,0.17270666835280535,0.14094332254778905,-0.03176334580501629,0.00019256975076189923,10000,0.6927154511185661,0.6265141812422526,-0.06620126987631356,0.0003986618152815192,10000,0.3528692416236654,0.3185824412814007,-0.0342868003422647,0.00021364815260060618,10000,861.1174458756793,765.0714373040071,-96.04600857167239,0.7108340147456793,10000
Aircraft manufacturing,process_capacity,plus_20_percent,18.0,22.0,19.999999999999996,22.222222222222232,True,True,10000,Sunny,Sunny,1.0,0.12718072219206747,0.22333015335004244,0.17270666835280535,0.17631555634057575,0.00360888798777039,6.144041734800789e-05,10000,0.6927154511185661,0.6994072902359791,0.0066918391174130565,0.00013090179999243655,10000,0.3528692416236654,0.3563774451490132,0.003508203525347855,6.931088883814856e-05,10000,861.1174458756793,871.403640670912,10.286194795232591,0.2898892957822436,10000
Aircraft manufacturing,ef_reverse_per_return,minus_20_percent,0.7,0.5599999999999999,-19.999999999999996,-20.000000000000007,True,False,10000,Sunny,Sunny,1.0,0.12338862558406861,0.21943221838859586,0.17270666835280535,0.17270666835280535,0.0,0.0,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,880.3802978756795,19.262852000000013,0.017882986963364753,10000
Aircraft manufacturing,ef_reverse_per_return,plus_20_percent,0.7,0.84,19.999999999999996,19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.12338862558406861,0.21943221838859586,0.17270666835280535,0.17270666835280535,0.0,0.0,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,841.8545938756794,-19.262851999999995,0.017882986963364732,10000
Telecommunications,rho_high,minus_20_percent,0.95,0.76,-19.999999999999996,-19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-8.577654562293288,-5.8744636110002855,-8.681994683027533,-7.072054111439693,1.6099405715878399,0.0028196078162320976,10000,0.33445329350946534,0.3736966299413102,0.03924333643184484,7.813997296603712e-05,10000,0.03177056380275633,0.028399138571900864,-0.003371425230855465,8.297410305726792e-06,10000,-1700.1463778417758,-1499.5759583541437,200.57041948763197,0.2943174817628601,10000
Telecommunications,rho_high,plus_20_percent,0.95,1.0,19.999999999999996,5.263157894736836,True,True,10000,Rainy,Rainy,0.0,-11.215354546721699,-7.170560588445868,-8.681994683027533,-8.946338968598363,-0.2643442855708316,0.0007153509860239848,10000,0.33445329350946534,0.31770656017177884,-0.016746733337686514,3.520146784166944e-05,10000,0.03177056380275633,0.03177065601717789,9.221442156072678e-08,3.1073565358430126e-08,10000,-1700.1463778417758,-1711.4023500536182,-11.255972211841991,0.01630680820102185,10000
Telecommunications,recovery_yield_mean,minus_20_percent,0.375,0.30000000000000004,-19.999999999999996,-19.999999999999986,True,False,10000,Rainy,Rainy,0.0,-10.769976174405615,-7.005172052786936,-8.681994683027533,-8.666207936382177,0.015786746645355766,5.435536012719618e-05,10000,0.33445329350946534,0.26740281739241717,-0.0670504761170482,3.881634448555894e-05,10000,0.03177056380275633,0.02540127171073542,-0.006369292092020906,3.649944614290703e-06,10000,-1700.1463778417758,-1724.2155354905653,-24.06915764878971,0.013556205145679736,10000
Telecommunications,recovery_yield_mean,plus_20_percent,0.375,0.44999999999999996,19.999999999999996,19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-10.809837330277652,-7.032797925328248,-8.681994683027533,-8.698571146925582,-0.016576463898050543,4.5006124551267136e-05,10000,0.33445329350946534,0.4015392458223706,0.06708595231290522,3.0231601530381226e-05,10000,0.03177056380275633,0.03814323167727893,0.006372667874522601,2.824982563773793e-06,10000,-1700.1463778417758,-1676.0644656340967,24.081912207679142,0.010368106042823472,10000
Telecommunications,sort_test_cost,minus_20_percent,12.0,9.600000000000001,-19.999999999999996,-19.999999999999986,True,False,10000,Rainy,Rainy,0.0,-10.778941662536884,-7.00859617744187,-8.681994683027533,-8.671671940807526,0.01032274222000382,2.1082810251156736e-05,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
Telecommunications,sort_test_cost,plus_20_percent,12.0,14.399999999999999,19.999999999999996,19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-10.803491245903219,-7.027391749494077,-8.681994683027533,-8.691728544819666,-0.009733861792134922,1.9907681907800437e-05,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
Telecommunications,transport_cost,minus_20_percent,10.0,8.0,-19.999999999999996,-19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-10.80929963070624,-7.03182549786326,-8.681994683027533,-8.697933285293939,-0.015938602266408003,2.028789678989357e-05,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
Telecommunications,transport_cost,plus_20_percent,10.0,12.0,19.999999999999996,19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-10.77430535451267,-7.006364283047204,-8.681994683027533,-8.667981902632095,0.014012780395438256,1.7838520959602393e-05,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
